policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1004,District Early Childhood Education Reform 47,Early Childhood,Uttar Pradesh,2016,Students,Implemented,98.82,"State Education Department, Private Partners",0.871,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh.,Increase reach by 34% in 3 years.,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh. Goals: Increase reach by 34% in 3 years.,"district early childhood education reform 47. this policy aims to improve digital access in early childhood through digital device distribution in uttar pradesh. goals: increase reach by 34% in 3 years.. stakeholders: state education department, private partners"
P1219,State Early Childhood Education Reform 96,Early Childhood,Uttar Pradesh,2016,Urban Students,Proposed,6.82,"Ministry of Education, Local NGOs",0.839,This policy aims to improve infrastructure in Early Childhood through teacher training programs in Uttar Pradesh.,Increase reach by 17% in 4 years.,This policy aims to improve infrastructure in Early Childhood through teacher training programs in Uttar Pradesh. Goals: Increase reach by 17% in 4 years.,"state early childhood education reform 96. this policy aims to improve infrastructure in early childhood through teacher training programs in uttar pradesh. goals: increase reach by 17% in 4 years.. stakeholders: ministry of education, local ngos"
P1406,State Vocational Education Reform 9,Early Childhood,Maharashtra,2025,All,Pilot,59.54,"Ministry of Education, Local NGOs",0.181,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Maharashtra.,Increase reach by 5% in 2 years.,This policy aims to improve infrastructure in Early Childhood through scholarship schemes in Maharashtra. Goals: Increase reach by 5% in 2 years.,"state vocational education reform 9. this policy aims to improve infrastructure in early childhood through scholarship schemes in maharashtra. goals: increase reach by 5% in 2 years.. stakeholders: ministry of education, local ngos"
P1061,National Primary Education Reform 81,Early Childhood,Uttar Pradesh,2017,Rural Students,Proposed,0.14,"Ministry of Education, Local NGOs",0.511,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Uttar Pradesh.,Increase reach by 14% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 14% in 4 years.,"national primary education reform 81. this policy aims to improve learning outcomes in early childhood through public-private partnerships in uttar pradesh. goals: increase reach by 14% in 4 years.. stakeholders: ministry of education, local ngos"
P1111,District Early Childhood Education Reform 71,Primary,West Bengal,2022,Students,Pilot,40.29,"Ministry of Education, Local NGOs",0.418,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal.,Increase reach by 20% in 1 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal. Goals: Increase reach by 20% in 1 years.,"district early childhood education reform 71. this policy aims to improve learning outcomes in primary through digital device distribution in west bengal. goals: increase reach by 20% in 1 years.. stakeholders: ministry of education, local ngos"
P1319,National Early Childhood Education Reform 33,Early Childhood,Punjab,2019,Disadvantaged Groups,Pilot,0.33,"State Education Department, Private Partners",0.774,This policy aims to improve digital access in Early Childhood through public-private partnerships in Punjab.,Increase reach by 34% in 5 years.,This policy aims to improve digital access in Early Childhood through public-private partnerships in Punjab. Goals: Increase reach by 34% in 5 years.,"national early childhood education reform 33. this policy aims to improve digital access in early childhood through public-private partnerships in punjab. goals: increase reach by 34% in 5 years.. stakeholders: state education department, private partners"
P1429,District Primary Education Reform 50,Secondary,Delhi,2021,Students,Under Review,0.13,"Central Government, Donors",0.754,This policy aims to improve infrastructure in Secondary through grants to schools in Delhi.,Increase reach by 17% in 1 years.,This policy aims to improve infrastructure in Secondary through grants to schools in Delhi. Goals: Increase reach by 17% in 1 years.,"district primary education reform 50. this policy aims to improve infrastructure in secondary through grants to schools in delhi. goals: increase reach by 17% in 1 years.. stakeholders: central government, donors"
P1030,District Higher Education Education Reform 71,Secondary,Uttar Pradesh,2021,Disadvantaged Groups,Pilot,14.23,"Teachers' Unions, Community Leaders",0.461,This policy aims to improve learning outcomes in Secondary through digital device distribution in Uttar Pradesh.,Increase reach by 23% in 2 years.,This policy aims to improve learning outcomes in Secondary through digital device distribution in Uttar Pradesh. Goals: Increase reach by 23% in 2 years.,"district higher education education reform 71. this policy aims to improve learning outcomes in secondary through digital device distribution in uttar pradesh. goals: increase reach by 23% in 2 years.. stakeholders: teachers' unions, community leaders"
P1438,National Vocational Education Reform 99,Secondary,Delhi,2015,Teachers,Proposed,15.28,"Central Government, Donors",0.543,This policy aims to improve infrastructure in Secondary through public-private partnerships in Delhi.,Increase reach by 7% in 1 years.,This policy aims to improve infrastructure in Secondary through public-private partnerships in Delhi. Goals: Increase reach by 7% in 1 years.,"national vocational education reform 99. this policy aims to improve infrastructure in secondary through public-private partnerships in delhi. goals: increase reach by 7% in 1 years.. stakeholders: central government, donors"
P1472,District Secondary Education Reform 40,Secondary,Uttar Pradesh,2017,Students,Pilot,0.85,"Central Government, Donors",0.774,This policy aims to improve learning outcomes in Secondary through teacher training programs in Uttar Pradesh.,Increase reach by 11% in 1 years.,This policy aims to improve learning outcomes in Secondary through teacher training programs in Uttar Pradesh. Goals: Increase reach by 11% in 1 years.,"district secondary education reform 40. this policy aims to improve learning outcomes in secondary through teacher training programs in uttar pradesh. goals: increase reach by 11% in 1 years.. stakeholders: central government, donors"
P1027,State Higher Education Education Reform 36,Primary,Delhi,2020,Disadvantaged Groups,Pilot,95.14,"Ministry of Education, Local NGOs",0.881,This policy aims to improve teacher quality in Primary through teacher training programs in Delhi.,Increase reach by 21% in 1 years.,This policy aims to improve teacher quality in Primary through teacher training programs in Delhi. Goals: Increase reach by 21% in 1 years.,"state higher education education reform 36. this policy aims to improve teacher quality in primary through teacher training programs in delhi. goals: increase reach by 21% in 1 years.. stakeholders: ministry of education, local ngos"
